Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
biak,id,-0.9132,122.8766,76.59,100.0,92.0,4.16
myanaung,mm,18.2833,95.3167,80.19,100.0,92.0,8.52
pangnirtung,ca,66.149,-65.7179,24.03,100.0,68.0,4.05
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
bethel,us,60.7922,-161.7559,56.57,47.0,0.0,14.67
yumen,cn,40.2917,97.0449,76.68,25.0,64.0,2.48
upernavik,gl,72.7868,-56.1549,25.56,95.0,20.0,4.16
komsomolskiy,ru,67.5537,63.776,32.04,100.0,68.0,19.26
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
barrow,us,39.5062,-90.4016,69.87,91.0,0.0,15.57
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
kruisfontein,za,-34.0034,24.7314,57.06,99.0,48.0,19.15
sao filipe,cv,14.8961,-24.4956,71.37,100.0,0.0,13.78
poum,nc,-20.2334,164.0167,72.81,100.0,0.0,10.98
havelock,us,34.8785,-76.9015,71.69,91.0,24.0,8.75
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
cabo san lucas,mx,22.8938,-109.9112,79.45,99.0,8.0,7.4
clyde river,ca,70.4692,-68.5915,25.59,90.0,56.0,8.52
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
khatanga,ru,71.9801,102.4743,49.95,85.0,0.0,11.65
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
suileng,cn,47.25,127.0833,84.15,41.0,20.0,22.5
thinadhoo,mv,0.5333,72.9333,83.43,100.0,48.0,14.67
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
chara,ru,56.9029,118.261,39.69,94.0,92.0,3.38
beloha,mg,-25.1739,45.0615,72.09,68.0,56.0,15.79
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
charters towers,au,-20.0715,146.271,67.14,54.0,0.0,4.5
oranjemund,na,-28.55,16.4333,58.95,99.0,0.0,13.78
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
saint-philippe,re,-21.3586,55.7679,72.3,100.0,20.0,14.67
saint-pierre,re,-21.3394,55.4781,73.0,100.0,0.0,19.15
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
cherskiy,ru,68.75,161.3,41.04,74.0,68.0,6.96
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
mandurah,au,-32.55,115.7,75.43,79.0,0.0,1.48
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
qaanaaq,gl,77.484,-69.3633,24.3,97.0,44.0,2.93
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
severo-kurilsk,ru,50.6789,156.125,42.21,87.0,76.0,19.93
lagunas,pe,-5.227,-75.6797,75.24,93.0,12.0,3.6
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
esperance,au,-33.8583,121.8932,74.25,39.0,8.0,13.22
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
puri,in,19.8,85.85,91.47,78.0,12.0,15.35
vostok,ru,46.448,135.8294,80.55,51.0,36.0,4.72
port elizabeth,za,-33.918,25.5701,63.09,100.0,92.0,27.54
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
tombouctou,ml,16.7719,-3.0088,80.1,53.0,0.0,9.42
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
victoria,sc,-4.6167,55.45,79.77,100.0,8.0,12.1
hirara,jp,24.8,125.2833,80.51,100.0,76.0,10.65
broken hill,au,-31.9651,141.4511,60.57,54.0,0.0,9.42
ugoofaaru,mv,5.6667,73.0,83.79,98.0,92.0,20.83
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
bhadrachalam,in,17.6688,80.894,92.88,70.0,8.0,4.38
lewisville,us,33.0462,-96.9942,88.84,81.0,0.0,8.97
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
honiara,sb,-9.4313,159.9553,85.55,82.0,48.0,2.59
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
salym,ru,60.0625,71.4789,45.72,62.0,92.0,9.64
dikson,ru,73.5069,80.5464,31.95,100.0,44.0,21.94
mandera,ke,3.9366,41.867,82.8,56.0,0.0,13.0
victoria,sc,-4.6167,55.45,79.77,100.0,8.0,12.1
saldanha,za,-33.0117,17.9442,53.55,100.0,0.0,10.09
puri,in,19.8,85.85,91.47,78.0,12.0,15.35
kagadi,ug,0.9473,30.804,76.5,100.0,48.0,2.15
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
andros town,bs,24.7279,-77.7889,76.91,99.0,48.0,2.15
mattru,sl,7.6244,-11.8333,73.8,97.0,64.0,2.71
carnarvon,au,-24.8667,113.6333,76.68,72.0,92.0,2.37
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
castro,cl,-42.4824,-73.7644,24.39,100.0,0.0,2.59
mount gambier,au,-37.8302,140.7843,54.9,81.0,44.0,2.71
naze,jp,28.3667,129.4833,77.41,99.0,100.0,9.42
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
amod,in,21.9908,72.8706,96.57,57.0,0.0,9.31
moose factory,ca,51.2585,-80.6095,30.56,69.0,0.0,10.2
dehloran,ir,32.6915,47.2675,96.3,26.0,12.0,6.73
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
aksu,cn,41.1231,80.2644,79.29,28.0,64.0,4.83
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
srednekolymsk,ru,67.4555,153.7071,36.81,85.0,92.0,7.52
naze,jp,28.3667,129.4833,77.41,99.0,100.0,9.42
omboue,ga,-1.5747,9.2618,78.3,99.0,32.0,11.65
snihurivka,ua,47.0718,32.7976,71.91,44.0,0.0,5.84
luderitz,na,-26.6481,15.1594,52.2,89.0,0.0,14.9
yakeshi,cn,49.2833,120.7333,66.96,49.0,68.0,22.28
longyearbyen,sj,78.2186,15.6401,33.06,93.0,20.0,2.37
ust-barguzin,ru,53.4083,109.0328,53.37,49.0,0.0,7.96
aklavik,ca,68.2183,-135.0136,44.53,91.0,0.0,15.79
winslow,us,35.0242,-110.6974,54.84,28.0,0.0,6.62
hualmay,pe,-11.0968,-77.613,58.86,88.0,80.0,4.83
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
broome,au,-17.9667,122.2333,94.82,31.0,0.0,12.66
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
clearwater,us,27.9659,-82.8002,78.04,94.0,0.0,11.77
kavaratti,in,10.5669,72.642,80.01,100.0,92.0,15.35
mahebourg,mu,-20.4081,57.7,75.11,83.0,80.0,9.75
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
ketchikan,us,55.3422,-131.6462,49.15,100.0,100.0,4.5
oranjestad,aw,12.524,-70.0271,81.27,95.0,64.0,26.08
ostrovnoy,ru,68.0544,39.5129,37.89,100.0,92.0,1.81
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
souillac,mu,-20.5167,57.5167,75.11,83.0,80.0,9.75
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
sitka,us,37.175,-99.6516,63.0,65.0,0.0,2.93
saint-philippe,re,-21.3586,55.7679,72.3,100.0,20.0,14.67
constitucion,mx,23.9912,-104.675,64.22,20.0,8.0,11.21
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
pucallpa,pe,-8.3821,-74.5388,72.37,93.0,92.0,2.82
padang,id,-0.9248,100.3633,83.7,100.0,0.0,4.72
hilo,us,19.7072,-155.0817,76.84,100.0,92.0,14.45
monrovia,lr,6.328,-10.7978,75.69,99.0,76.0,2.93
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
wairoa,nz,-39.0394,177.4271,55.17,100.0,92.0,16.46
tecoanapa,mx,16.9875,-99.2589,75.15,100.0,64.0,2.59
dingle,ie,52.1408,-10.2689,55.89,98.0,44.0,3.6
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
ambon,id,-3.6955,128.1814,78.12,100.0,92.0,7.63
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
mangrol,in,25.3307,76.512,107.19,20.0,0.0,17.02
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
longyearbyen,sj,78.2186,15.6401,33.06,93.0,20.0,2.37
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
birjand,ir,32.8636,59.2175,85.69,30.0,0.0,9.42
kuldiga,lv,56.974,21.9572,71.11,40.0,0.0,4.61
mahebourg,mu,-20.4081,57.7,75.11,83.0,80.0,9.75
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
cherskiy,ru,68.75,161.3,41.04,74.0,68.0,6.96
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
port elizabeth,za,-33.918,25.5701,63.09,100.0,92.0,27.54
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
yining,cn,29.0361,114.5636,75.24,82.0,88.0,3.15
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
champerico,gt,14.3,-91.9167,74.88,100.0,0.0,2.59
umba,ru,66.6871,34.3429,47.79,77.0,48.0,5.73
itarema,br,-2.9248,-39.9167,75.96,94.0,12.0,8.41
mulchen,cl,-37.7167,-72.2334,37.53,63.0,0.0,6.85
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
knoxville,us,35.9604,-83.9211,69.98,87.0,0.0,1.25
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
mangrol,in,25.3307,76.512,107.19,20.0,0.0,17.02
troitskoye,ru,52.9814,84.6776,62.28,73.0,92.0,7.52
ulety,ru,51.3572,112.4849,59.04,45.0,80.0,13.0
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
benghazi,ly,32.1171,20.067,68.86,99.0,12.0,9.08
clyde river,ca,70.4692,-68.5915,25.59,90.0,56.0,8.52
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
vanimo,pg,-2.6741,141.3028,78.57,100.0,92.0,8.08
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
port elizabeth,za,-33.918,25.5701,63.09,100.0,92.0,27.54
zheleznodorozhnyy,ru,55.7503,38.0042,70.16,47.0,0.0,6.17
sokode,tg,8.9833,1.1333,71.55,96.0,48.0,3.38
calama,cl,-22.4624,-68.9273,36.75,36.0,44.0,2.37
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
florence,us,34.1984,-79.7672,69.89,88.0,36.0,5.95
zalaszentgrot,hu,46.9447,17.0792,66.13,83.0,56.0,5.06
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
fatezh,ru,52.0893,35.8595,66.6,57.0,48.0,10.31
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
ribeira grande,pt,38.5167,-28.7001,67.59,97.0,92.0,21.05
coihueco,cl,-36.6291,-71.832,25.5,75.0,0.0,5.17
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
pevek,ru,69.7028,170.2747,35.19,88.0,92.0,4.94
yulara,au,-25.2411,130.9869,80.13,18.0,0.0,7.07
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
nanortalik,gl,60.1432,-45.2372,36.45,89.0,76.0,10.31
sale,au,-38.1051,147.0648,54.0,94.0,80.0,4.38
thinadhoo,mv,0.5333,72.9333,83.43,100.0,48.0,14.67
comodoro rivadavia,ar,-45.8654,-67.4808,35.58,100.0,0.0,7.18
kyren,ru,51.6824,102.1329,60.66,53.0,0.0,2.59
high level,ca,58.5167,-117.1334,50.67,93.0,64.0,3.15
moron,mn,47.3825,110.3165,61.65,44.0,24.0,19.71
raduzhnyy,ru,62.0961,77.475,43.65,100.0,64.0,26.31
cidreira,br,-30.1658,-50.2184,51.57,97.0,76.0,14.79
constitucion,cl,-35.3334,-72.4167,43.29,100.0,0.0,1.03
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
hay river,ca,60.8156,-115.7867,52.5,69.0,8.0,5.06
tasiilaq,gl,65.6145,-37.6368,33.82,100.0,68.0,2.93
auka,hn,14.9333,-83.8334,75.78,85.0,36.0,3.6
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
kutum,sd,14.2031,24.6617,80.64,15.0,0.0,14.0
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
smithers,ca,54.783,-127.1703,43.47,68.0,48.0,1.92
kavieng,pg,-2.5745,150.7967,83.61,100.0,56.0,6.17
kavali,in,14.9136,79.9927,91.62,73.0,12.0,7.74
hambantota,lk,6.1241,81.1185,82.44,94.0,44.0,17.69
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
castro,cl,-42.4824,-73.7644,24.39,100.0,0.0,2.59
lorengau,pg,-2.0226,147.2712,80.1,100.0,88.0,6.06
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
buala,sb,-8.1456,159.593,82.62,92.0,92.0,2.48
vaitape,pf,-16.5167,-151.75,79.92,100.0,12.0,7.4
cartagena,co,5.025,-75.6377,63.09,93.0,44.0,1.59
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
yuzhno-kurilsk,ru,44.0306,145.8556,57.6,75.0,0.0,18.7
ahipara,nz,-35.1665,173.1562,60.84,97.0,80.0,16.69
khatanga,ru,71.9801,102.4743,49.95,85.0,0.0,11.65
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
hithadhoo,mv,-0.6,73.0833,83.79,100.0,56.0,15.01
zdvinsk,ru,54.704,78.6676,56.79,50.0,64.0,17.92
fort nelson,ca,58.8063,-122.694,52.66,82.0,48.0,3.71
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
pangai,to,-19.8,-174.3501,78.82,100.0,88.0,21.27
haines junction,ca,60.7527,-137.5101,38.79,63.0,68.0,2.59
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
mocuba,mz,-16.8393,36.9856,68.04,87.0,88.0,5.39
clarence town,bs,23.1,-74.9834,81.09,96.0,12.0,10.98
shingu,jp,33.7241,135.993,74.44,88.0,68.0,10.65
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
lebu,cl,-37.6167,-73.6501,49.95,100.0,0.0,9.08
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
yeppoon,au,-23.1349,150.7437,78.55,48.0,0.0,8.41
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
goiatuba,br,-18.0155,-49.3641,62.01,71.0,56.0,2.71
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
touros,br,-5.1989,-35.4609,76.14,100.0,88.0,11.54
ulaanbaatar,mn,47.9185,106.9177,66.04,49.0,20.0,14.0
hilo,us,19.7072,-155.0817,76.84,100.0,92.0,14.45
lebu,cl,-37.6167,-73.6501,49.95,100.0,0.0,9.08
knysna,za,-34.0363,23.0471,54.72,100.0,100.0,14.45
whitehorse,ca,60.7216,-135.055,41.2,99.0,92.0,2.59
leningradskiy,ru,69.3833,178.4167,33.57,92.0,12.0,17.25
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
khatanga,ru,71.9801,102.4743,49.95,85.0,0.0,11.65
ranong,th,9.9601,98.6239,87.94,93.0,92.0,9.75
provideniya,ru,64.4238,-173.2276,35.82,86.0,24.0,24.63
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
portland,au,-33.3484,149.9844,50.58,84.0,88.0,3.38
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
balad,iq,34.0164,44.1453,99.09,17.0,0.0,10.87
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
norman wells,ca,65.2824,-126.8328,60.37,49.0,36.0,6.85
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
hanmer springs,nz,-42.5218,172.8303,40.5,100.0,92.0,2.93
saint-francois,gp,16.2526,-61.2742,76.82,100.0,92.0,13.0
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
somotillo,ni,13.0446,-86.9051,71.64,88.0,20.0,2.48
kununurra,au,-15.7731,128.7388,86.47,10.0,0.0,15.01
fortuna,us,40.5974,-124.1561,49.41,98.0,0.0,6.06
messina,za,-22.3514,30.0396,58.59,88.0,0.0,2.71
kalmunai,lk,7.4167,81.8167,87.57,77.0,48.0,4.05
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
zeya,ru,53.7404,127.2716,80.55,43.0,64.0,3.83
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
grand gaube,mu,-20.0064,57.6608,74.07,100.0,44.0,16.46
bonavista,ca,48.6542,-53.1104,37.17,97.0,92.0,16.69
thompson,ca,55.7433,-97.8635,40.41,97.0,92.0,5.17
sinnamary,gf,5.3772,-52.9574,76.86,100.0,80.0,6.96
beloha,mg,-25.1739,45.0615,72.09,68.0,56.0,15.79
talnakh,ru,69.494,88.3908,35.37,90.0,100.0,4.16
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
norman wells,ca,65.2824,-126.8328,60.37,49.0,36.0,6.85
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
provideniya,ru,64.4238,-173.2276,35.82,86.0,24.0,24.63
tumen,cn,42.9653,129.8366,81.09,52.0,0.0,3.83
cidreira,br,-30.1658,-50.2184,51.57,97.0,76.0,14.79
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
provideniya,ru,64.4238,-173.2276,35.82,86.0,24.0,24.63
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
sitka,us,37.175,-99.6516,63.0,65.0,0.0,2.93
hasaki,jp,35.7333,140.8333,78.22,98.0,0.0,8.97
biloela,au,-24.3998,150.5142,65.97,50.0,0.0,9.19
san ramon,bo,-13.2669,-64.6173,58.5,96.0,92.0,14.56
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
pisco,pe,-13.71,-76.203,61.18,97.0,100.0,3.71
tiksi,ru,71.6366,128.8685,37.35,85.0,12.0,8.52
vestmannaeyjar,is,63.4427,-20.2734,45.0,100.0,92.0,9.31
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
clyde river,ca,70.4692,-68.5915,25.59,90.0,56.0,8.52
nauta,pe,-4.5062,-73.5758,74.07,99.0,76.0,4.94
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
ulverstone,au,-41.1572,146.1705,48.6,90.0,32.0,2.59
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
chicama,pe,-7.8435,-79.1452,61.83,96.0,24.0,3.15
ostrovnoy,ru,68.0544,39.5129,37.89,100.0,92.0,1.81
mamou,gn,10.3741,-12.0836,71.91,95.0,68.0,3.04
puksoozero,ru,62.5908,40.6075,47.7,69.0,92.0,4.61
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
hasaki,jp,35.7333,140.8333,78.22,98.0,0.0,8.97
bambous virieux,mu,-20.3428,57.7575,75.11,83.0,80.0,9.75
fort nelson,ca,58.8063,-122.694,52.66,82.0,48.0,3.71
coihaique,cl,-45.5753,-72.0662,15.35,68.0,0.0,1.92
barrow,us,39.5062,-90.4016,69.87,91.0,0.0,15.57
lyaskelya,ru,61.7667,31.0167,64.89,38.0,32.0,11.21
alice springs,au,-23.6984,133.8813,76.95,17.0,0.0,10.65
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
ribeira grande,pt,38.5167,-28.7001,67.59,97.0,92.0,21.05
pangnirtung,ca,66.149,-65.7179,24.03,100.0,68.0,4.05
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
malinyi,tz,-8.944,36.1369,73.89,67.0,0.0,3.27
along,in,28.1698,94.7985,83.52,60.0,32.0,1.81
mahebourg,mu,-20.4081,57.7,75.11,83.0,80.0,9.75
oranjemund,na,-28.55,16.4333,58.95,99.0,0.0,13.78
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
kirakira,sb,-10.4569,161.9202,82.26,100.0,20.0,3.94
van,tr,38.5084,43.3743,62.01,98.0,64.0,1.92
kangaatsiaq,gl,68.3065,-53.4641,26.1,100.0,76.0,4.72
mabaruma,gy,8.1986,-59.7817,78.3,89.0,80.0,6.4
te anau,nz,-45.4145,167.7175,29.25,90.0,0.0,2.37
mackenzie,ca,55.3382,-123.0944,47.35,57.0,0.0,2.93
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
san cristobal,ec,-1.0243,-79.4413,61.02,100.0,24.0,1.36
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
mahebourg,mu,-20.4081,57.7,75.11,83.0,80.0,9.75
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
