Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
bambous virieux,mu,-20.3428,57.7575,75.11,83.0,80.0,9.75
college,us,64.8569,-147.8028,65.98,66.0,32.0,3.04
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
mehamn,no,71.035,27.8517,39.96,93.0,92.0,11.32
kavieng,pg,-2.5745,150.7967,83.61,100.0,56.0,6.17
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
sarkand,kz,45.4083,79.9138,63.9,94.0,92.0,18.03
semnan,ir,35.5836,53.3879,79.47,40.0,100.0,4.61
pyay,mm,18.8167,95.2167,82.62,98.0,88.0,6.96
ailigandi,pa,9.2333,-78.0167,76.32,99.0,92.0,1.7
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
tashtyp,ru,52.7959,89.8917,75.87,43.0,20.0,6.17
husavik,is,66.0449,-17.3389,52.02,77.0,0.0,6.96
hualmay,pe,-11.0968,-77.613,58.86,88.0,80.0,4.83
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
thomasville,us,35.8832,-80.0819,65.95,87.0,12.0,2.82
lorengau,pg,-2.0226,147.2712,80.1,100.0,88.0,6.06
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
ilulissat,gl,69.2167,-51.1,27.93,100.0,0.0,3.15
khatanga,ru,71.9801,102.4743,49.95,85.0,0.0,11.65
tigzirt,dz,36.5662,4.1992,57.6,97.0,88.0,2.26
coquimbo,cl,-29.9532,-71.3381,44.11,100.0,32.0,7.4
kaitangata,nz,-46.2818,169.8464,31.05,77.0,0.0,2.71
maningrida,au,-12.0525,134.2267,84.69,54.0,0.0,11.21
algiers,dz,36.7525,3.042,63.64,99.0,80.0,2.26
lavrentiya,ru,65.5842,-170.989,36.09,84.0,0.0,16.58
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
arraial do cabo,br,-22.9663,-42.0245,70.11,92.0,12.0,6.96
cayenne,gf,4.9371,-52.3259,75.25,100.0,68.0,3.38
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
yerbogachen,ru,61.2767,108.0108,62.19,45.0,0.0,3.6
eydhafushi,mv,5.1033,73.0708,83.79,98.0,92.0,20.83
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
mogadishu,so,2.0428,45.3386,80.28,99.0,36.0,18.7
vestmanna,fo,62.1564,-7.1664,45.61,100.0,44.0,13.0
bambous virieux,mu,-20.3428,57.7575,75.11,83.0,80.0,9.75
sao joao da barra,br,-21.6403,-41.0512,75.42,96.0,12.0,12.44
chulym,ru,55.09,80.9705,58.5,51.0,32.0,17.69
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
pulaski,us,37.0479,-80.7798,62.58,96.0,0.0,2.93
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
tiksi,ru,71.6366,128.8685,37.35,85.0,12.0,8.52
arraial do cabo,br,-22.9663,-42.0245,70.11,92.0,12.0,6.96
seoul,kr,37.5667,126.9783,88.39,38.0,0.0,3.6
atar,mr,20.5183,-13.0544,74.43,41.0,0.0,5.61
ajdabiya,ly,30.755,20.2233,75.78,37.0,0.0,4.83
severo-kurilsk,ru,50.6789,156.125,42.21,87.0,76.0,19.93
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
san lorenzo,ar,-24.7303,-65.4879,37.06,100.0,88.0,0.92
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
port blair,in,11.6667,92.75,82.44,100.0,24.0,15.23
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
dunedin,nz,-45.874,170.5035,27.72,96.0,0.0,3.04
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
salalah,om,17.0149,54.0957,83.35,98.0,92.0,4.5
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
dikson,ru,73.5069,80.5464,31.95,100.0,44.0,21.94
clyde river,ca,70.4692,-68.5915,25.59,90.0,56.0,8.52
rocha,uy,-34.4811,-54.3366,46.08,91.0,0.0,9.19
warrnambool,au,-38.3827,142.4814,56.34,95.0,0.0,2.15
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
tambacounda,sn,13.7693,-13.6683,79.79,81.0,12.0,4.94
kaitangata,nz,-46.2818,169.8464,31.05,77.0,0.0,2.71
carnarvon,au,-24.8667,113.6333,76.68,72.0,92.0,2.37
naze,jp,28.3667,129.4833,77.41,99.0,100.0,9.42
tiarei,pf,-17.5334,-149.3334,74.32,100.0,92.0,9.86
nkhotakota,mw,-12.927,34.2967,68.94,76.0,0.0,6.96
longyearbyen,sj,78.2186,15.6401,33.06,93.0,20.0,2.37
qaanaaq,gl,77.484,-69.3633,24.3,97.0,44.0,2.93
yakima,us,46.6016,-120.5109,59.38,71.0,0.0,0.81
dalvik,is,65.9702,-18.5287,51.48,66.0,0.0,8.41
hofn,is,64.2539,-15.2082,50.76,85.0,20.0,4.72
labuhan,id,-2.5409,115.5092,83.52,75.0,56.0,2.82
kahului,us,20.8894,-156.4728,75.81,84.0,0.0,11.65
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
port-cartier,ca,50.0257,-66.8819,35.85,100.0,0.0,22.39
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
tromso,no,69.6489,18.9551,37.44,100.0,92.0,2.71
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
gazanjyk,tm,39.2446,55.5154,67.32,33.0,92.0,10.42
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
bulolo,pg,-7.2023,146.644,67.41,95.0,92.0,0.81
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
qaanaaq,gl,77.484,-69.3633,24.3,97.0,44.0,2.93
nokaneng,bw,-19.6622,22.1901,58.32,50.0,0.0,6.62
fort nelson,ca,58.8063,-122.694,52.66,82.0,48.0,3.71
dikson,ru,73.5069,80.5464,31.95,100.0,44.0,21.94
upernavik,gl,72.7868,-56.1549,25.56,95.0,20.0,4.16
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
ancud,cl,-41.8682,-73.8288,29.25,69.0,0.0,4.38
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
shenjiamen,cn,29.9576,122.298,71.64,92.0,92.0,7.29
chokurdakh,ru,70.6192,147.9022,31.95,99.0,88.0,14.79
union de san antonio,mx,21.1,-101.9667,59.07,30.0,0.0,9.31
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
indianola,us,40.2358,-100.4182,48.97,52.0,0.0,3.15
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
santa marta,co,11.2422,-74.2056,83.89,96.0,8.0,26.98
salamiyah,sy,35.0117,37.0546,69.48,68.0,0.0,5.17
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
moose factory,ca,51.2585,-80.6095,30.56,69.0,0.0,10.2
hilo,us,19.7072,-155.0817,76.84,100.0,92.0,14.45
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
kirakira,sb,-10.4569,161.9202,82.26,100.0,20.0,3.94
mitsamiouli,km,-11.3848,43.2844,78.06,93.0,0.0,8.52
komsomolskiy,ru,67.5537,63.776,32.04,100.0,68.0,19.26
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
wairoa,nz,-39.0394,177.4271,55.17,100.0,92.0,16.46
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
chitral,pk,35.8508,71.7903,37.8,85.0,0.0,1.14
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
lorengau,pg,-2.0226,147.2712,80.1,100.0,88.0,6.06
grindavik,is,63.8424,-22.4338,44.2,100.0,92.0,12.44
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
mar del plata,ar,-46.4276,-67.5191,17.82,100.0,0.0,3.71
maragogi,br,-9.0119,-35.2226,75.51,99.0,92.0,4.38
iskateley,ru,67.6803,53.1512,31.77,100.0,44.0,13.67
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
hilo,us,19.7072,-155.0817,76.84,100.0,92.0,14.45
longyearbyen,sj,78.2186,15.6401,33.06,93.0,20.0,2.37
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
harnai,pk,30.1005,67.938,99.09,21.0,0.0,3.6
chaohu,cn,31.6275,117.8842,86.13,74.0,0.0,4.72
eydhafushi,mv,5.1033,73.0708,83.79,98.0,92.0,20.83
ancud,cl,-41.8682,-73.8288,29.25,69.0,0.0,4.38
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
constitucion,mx,23.9912,-104.675,64.22,20.0,8.0,11.21
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
kaitangata,nz,-46.2818,169.8464,31.05,77.0,0.0,2.71
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
tabas,ir,33.596,56.9247,96.12,17.0,0.0,6.4
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
endicott,us,42.0984,-76.0494,55.8,79.0,32.0,5.06
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
longyearbyen,sj,78.2186,15.6401,33.06,93.0,20.0,2.37
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
fortuna,us,40.5974,-124.1561,49.41,98.0,0.0,6.06
ilulissat,gl,69.2167,-51.1,27.93,100.0,0.0,3.15
masingbi,sl,8.6376,-11.4738,73.8,95.0,68.0,2.37
adrar,dz,27.8734,-0.2875,74.89,23.0,0.0,7.74
irara,br,-12.05,-38.7667,70.74,99.0,92.0,4.94
manokwari,id,-0.8667,134.0833,81.9,100.0,48.0,3.38
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
new smyrna beach,us,29.0258,-80.927,73.81,98.0,0.0,10.09
kieta,pg,-6.2167,155.6333,80.46,100.0,56.0,5.17
sao filipe,cv,14.8961,-24.4956,71.37,100.0,0.0,13.78
cedar city,us,37.6775,-113.0619,44.13,43.0,0.0,2.37
florence,us,34.1984,-79.7672,69.89,88.0,36.0,5.95
cabo san lucas,mx,22.8938,-109.9112,79.45,99.0,8.0,7.4
surgut,ru,61.254,73.3964,48.96,86.0,64.0,12.77
torbay,ca,47.6577,-52.727,36.46,95.0,92.0,13.11
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
san ramon de la nueva oran,ar,-23.1323,-64.326,47.88,83.0,92.0,2.37
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
klaksvik,fo,62.2266,-6.5891,45.43,100.0,80.0,11.77
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
tuatapere,nz,-46.1324,167.6908,41.58,100.0,24.0,1.03
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
ushtobe,kz,45.2514,77.9838,58.77,100.0,92.0,16.24
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
carauari,br,-4.8767,-66.8962,71.82,100.0,88.0,3.27
saskylakh,ru,71.965,114.0939,43.47,98.0,92.0,19.48
severo-kurilsk,ru,50.6789,156.125,42.21,87.0,76.0,19.93
bluff,nz,-46.6,168.3333,45.36,100.0,8.0,5.95
erenhot,cn,43.6511,111.9704,66.15,29.0,80.0,22.73
lagoa,pt,37.1363,-8.4541,56.26,91.0,0.0,4.16
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
lima,pe,-12.0622,-77.0366,57.51,75.0,100.0,2.04
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
tiksi,ru,71.6366,128.8685,37.35,85.0,12.0,8.52
tasiilaq,gl,65.6145,-37.6368,33.82,100.0,68.0,2.93
sajanan,tn,37.0573,9.2426,70.38,79.0,32.0,7.52
iqaluit,ca,63.7494,-68.5219,26.83,93.0,76.0,10.09
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
half moon bay,us,37.4636,-122.4286,64.35,92.0,0.0,7.96
kysyl-syr,ru,63.8986,122.7713,58.05,37.0,0.0,4.61
pevek,ru,69.7028,170.2747,35.19,88.0,92.0,4.94
asyut,eg,27.1802,31.1877,79.68,40.0,0.0,4.5
esperance,au,-33.8583,121.8932,74.25,39.0,8.0,13.22
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
rock sound,bs,24.9,-76.2,80.82,96.0,20.0,7.52
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
east london,za,-33.0153,27.9116,64.35,100.0,0.0,24.52
ancud,cl,-41.8682,-73.8288,29.25,69.0,0.0,4.38
upernavik,gl,72.7868,-56.1549,25.56,95.0,20.0,4.16
ust-barguzin,ru,53.4083,109.0328,53.37,49.0,0.0,7.96
samagaltay,ru,50.6,95.0018,75.06,41.0,0.0,4.38
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
sao sebastiao,br,-3.153,-58.3647,77.4,91.0,36.0,2.26
torbay,ca,47.6577,-52.727,36.46,95.0,92.0,13.11
bethel,us,60.7922,-161.7559,56.57,47.0,0.0,14.67
hervey bay,au,-25.2986,152.8535,67.95,97.0,0.0,5.39
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
sao filipe,cv,14.8961,-24.4956,71.37,100.0,0.0,13.78
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
carnarvon,au,-24.8667,113.6333,76.68,72.0,92.0,2.37
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
chokurdakh,ru,70.6192,147.9022,31.95,99.0,88.0,14.79
mahebourg,mu,-20.4081,57.7,75.11,83.0,80.0,9.75
durango,us,37.2754,-107.88,70.77,18.0,92.0,6.73
fougamou,ga,-1.2165,10.5914,72.09,98.0,88.0,2.93
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
vao,nc,-22.6667,167.4833,73.8,100.0,0.0,15.68
skjervoy,no,70.0311,20.9714,41.76,100.0,92.0,13.67
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
saint george,bm,32.3817,-64.6781,76.77,97.0,88.0,19.48
havelock,us,34.8785,-76.9015,71.69,91.0,24.0,8.75
saint-joseph,re,-21.3667,55.6167,72.34,100.0,20.0,14.67
port alfred,za,-33.5906,26.891,60.75,100.0,12.0,17.69
cayenne,gf,4.9371,-52.3259,75.25,100.0,68.0,3.38
kidal,ml,18.4449,1.4096,74.07,29.0,0.0,2.71
hilo,us,19.7072,-155.0817,76.84,100.0,92.0,14.45
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
la ronge,ca,55.1004,-105.3013,40.95,91.0,8.0,4.72
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
tasiilaq,gl,65.6145,-37.6368,33.82,100.0,68.0,2.93
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
lompoc,us,34.6392,-120.458,56.23,94.0,0.0,3.6
havoysund,no,70.9963,24.6622,39.92,97.0,92.0,11.32
myre,no,69.1036,15.9492,42.82,100.0,92.0,17.81
bud,no,62.9088,6.9145,54.21,90.0,12.0,3.6
bathsheba,bb,13.2167,-59.5167,78.64,100.0,32.0,16.02
castro,cl,-42.4824,-73.7644,24.39,100.0,0.0,2.59
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
chokurdakh,ru,70.6192,147.9022,31.95,99.0,88.0,14.79
bathsheba,bb,13.2167,-59.5167,78.64,100.0,32.0,16.02
upernavik,gl,72.7868,-56.1549,25.56,95.0,20.0,4.16
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
namatanai,pg,-3.6642,152.4407,81.54,100.0,56.0,4.94
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
norman wells,ca,65.2824,-126.8328,60.37,49.0,36.0,6.85
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
vytegra,ru,61.0064,36.4511,59.49,65.0,76.0,10.09
andros town,bs,24.7279,-77.7889,76.91,99.0,48.0,2.15
hovd,mn,48.0056,91.6419,78.93,11.0,8.0,4.94
iquique,cl,-20.2209,-70.1431,60.24,100.0,88.0,1.14
pevek,ru,69.7028,170.2747,35.19,88.0,92.0,4.94
saskylakh,ru,71.965,114.0939,43.47,98.0,92.0,19.48
kaitangata,nz,-46.2818,169.8464,31.05,77.0,0.0,2.71
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
pointe michel,dm,15.25,-61.3834,79.29,97.0,68.0,15.23
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
cherskiy,ru,68.75,161.3,41.04,74.0,68.0,6.96
varhaug,no,58.6147,5.6457,60.73,96.0,0.0,6.96
hobart,au,-42.8826,147.3281,55.22,94.0,36.0,2.37
whakatane,nz,-37.9586,176.9854,59.13,100.0,92.0,22.28
aklavik,ca,68.2183,-135.0136,44.53,91.0,0.0,15.79
cape town,za,-33.929,18.4174,54.63,100.0,64.0,6.96
yelovo,ru,57.0538,54.9207,47.07,82.0,24.0,9.64
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
pedernales,do,18.0384,-71.7441,77.49,100.0,0.0,12.21
henties bay,na,-22.1161,14.2845,54.45,100.0,56.0,4.61
butaritari,ki,3.0707,172.7902,81.9,100.0,32.0,8.08
mahajanga,mg,-15.7167,46.3167,71.51,100.0,0.0,11.99
tiznit,ma,29.6986,-9.7313,58.77,93.0,0.0,2.37
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
tainan,tw,22.9908,120.2133,88.74,100.0,12.0,7.74
sergeyevka,kz,53.881,67.4159,48.42,81.0,76.0,21.72
wisconsin rapids,us,44.3918,-89.8229,54.64,91.0,0.0,19.93
lufilufi,ws,-13.8745,-171.5986,82.71,100.0,68.0,18.14
rocha,uy,-34.4811,-54.3366,46.08,91.0,0.0,9.19
san cristobal,ec,-1.0243,-79.4413,61.02,100.0,24.0,1.36
georgetown,sh,-7.9334,-14.4167,78.57,100.0,92.0,14.0
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
torbay,ca,47.6577,-52.727,36.46,95.0,92.0,13.11
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
avarua,ck,-21.2078,-159.775,75.25,100.0,12.0,18.48
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
muros,es,42.7744,-9.0576,50.59,100.0,64.0,7.29
bilibino,ru,68.055,166.4449,38.34,97.0,88.0,4.05
north bend,us,43.4065,-124.2243,48.81,88.0,0.0,3.71
pevek,ru,69.7028,170.2747,35.19,88.0,92.0,4.94
nuevitas,cu,21.546,-77.2691,71.87,100.0,8.0,5.73
luderitz,na,-26.6481,15.1594,52.2,89.0,0.0,14.9
ribeira grande,pt,38.5167,-28.7001,67.59,97.0,92.0,21.05
atuona,pf,-9.8,-139.0334,80.1,100.0,76.0,14.56
torbay,ca,47.6577,-52.727,36.46,95.0,92.0,13.11
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
bathsheba,bb,13.2167,-59.5167,78.64,100.0,32.0,16.02
yellowknife,ca,62.4541,-114.3774,53.24,44.0,32.0,11.99
bonavista,ca,48.6542,-53.1104,37.17,97.0,92.0,16.69
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
new norfolk,au,-42.7802,147.0615,53.78,100.0,48.0,2.48
basco,ph,20.4487,121.9702,84.24,100.0,12.0,7.74
cehegin,es,38.0924,-1.7985,50.67,96.0,8.0,2.71
havre-saint-pierre,ca,50.2334,-63.5987,28.74,71.0,0.0,17.47
saint-louis,re,-21.2667,55.4167,73.36,100.0,44.0,2.59
saldanha,za,-33.0117,17.9442,53.55,100.0,0.0,10.09
cardoso,br,-20.0804,-49.914,69.3,74.0,92.0,4.38
busselton,au,-33.6445,115.3489,63.0,100.0,76.0,8.75
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
cortez,us,37.3495,-108.5841,54.54,28.0,44.0,3.83
ushuaia,ar,-54.807,-68.3074,27.09,100.0,44.0,5.28
nauta,pe,-4.5062,-73.5758,74.07,99.0,76.0,4.94
tuatapere,nz,-46.1324,167.6908,41.58,100.0,24.0,1.03
norman wells,ca,65.2824,-126.8328,60.37,49.0,36.0,6.85
bethel,us,60.7922,-161.7559,56.57,47.0,0.0,14.67
kapaa,us,22.0752,-159.319,75.87,90.0,44.0,10.54
qaanaaq,gl,77.484,-69.3633,24.3,97.0,44.0,2.93
poum,nc,-20.2334,164.0167,72.81,100.0,0.0,10.98
tual,id,-5.6667,132.75,82.44,99.0,20.0,12.77
punta arenas,cl,-53.1627,-70.9081,34.25,100.0,0.0,1.92
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
mandalgovi,mn,45.763,106.2704,66.69,31.0,0.0,17.47
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
bilma,ne,18.6929,12.9187,81.0,21.0,0.0,4.27
provideniya,ru,64.4238,-173.2276,35.82,86.0,24.0,24.63
vaini,to,-21.2001,-175.2,76.32,100.0,88.0,15.35
lagoa,pt,37.1363,-8.4541,56.26,91.0,0.0,4.16
hermanus,za,-34.4176,19.2361,46.71,100.0,48.0,1.36
tiksi,ru,71.6366,128.8685,37.35,85.0,12.0,8.52
kununurra,au,-15.7731,128.7388,86.47,10.0,0.0,15.01
hobyo,so,5.3505,48.5268,82.08,69.0,12.0,19.37
iqaluit,ca,63.7494,-68.5219,26.83,93.0,76.0,10.09
honavar,in,14.2833,74.45,80.73,100.0,92.0,2.93
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
mujiayingzi,cn,42.1167,118.7833,65.25,36.0,92.0,9.86
hualmay,pe,-11.0968,-77.613,58.86,88.0,80.0,4.83
virginia beach,us,36.853,-75.9775,71.89,95.0,56.0,3.38
nikolskoye,ru,59.7035,30.7861,70.21,56.0,44.0,4.61
jamestown,sh,-15.9388,-5.7168,70.65,100.0,76.0,19.48
albany,au,-35.0248,117.8836,66.06,46.0,48.0,6.17
kenai,us,60.5544,-151.2584,54.09,47.0,44.0,14.56
puerto ayora,ec,-0.7394,-90.3518,72.09,100.0,24.0,8.19
bredasdorp,za,-34.5331,20.0428,56.52,100.0,100.0,8.52
rikitea,pf,-23.1203,-134.9692,71.82,100.0,100.0,17.25
tuktoyaktuk,ca,69.444,-133.032,39.45,91.0,0.0,8.97
constantine,dz,36.3645,6.6083,64.83,94.0,48.0,3.27
kodiak,us,39.9519,-94.7572,59.18,88.0,0.0,8.97
mbekenyera,tz,-10.0,38.9833,71.1,67.0,0.0,3.38
biltine,td,14.5252,20.9287,80.73,31.0,0.0,5.5
chuy,uy,-33.6938,-53.4562,53.64,92.0,24.0,14.79
ossora,ru,59.2353,163.0719,38.61,91.0,48.0,11.99
